ID,Roadway,From,To
411,10th St,Alabama Ave,Sheeler Ave
840,13th St,Ocoee-Apopka Rd,Park Ave
841,13th St,Park Ave,Apopka Blvd
401,2nd St (Monroe Ave),Central Ave,Park Ave
403,5th St,Park Ave,Highland Ave
650,6th St,Park Ave,Alabama Ave
410,6th St,Alabama Ave,US 441
404,8th St,Park Ave,Highland Ave
333,9th St,Central Ave,Park Ave
409,Alabama Ave,Monroe Ave,US 441
971,Appy Ln,Plymouth-Sorrento Rd (CR 437),Jason Dwelley Pkwy
404*,Binion Rd/Orange Ave,Lakeview Dr,US 441
"(404, 327)*",Binion Rd/Orange Ave,Boy Scout Rd,Lakeview Dr
28*,Binion Rd/Orange Ave,Ocoee-Apopka Rd,Harmon Rd
673,Binion Rd/Orange Ave,Harmon Rd,Boy Scout Rd
556,Boy Scout Rd,Binion Rd,Ocoee-Apopka Rd
557,Bradshaw Rd,US 441,Ocoee-Apopka Rd
33*,CR 424 (Alabama Ave/Apopka Blvd),Hiawassee Rd,Overland Rd
1008*,CR 424 (Alabama Ave/Apopka Blvd),8th St,Sheeler Rd
671,CR 424 (Alabama Ave/Apopka Blvd),Overland Rd,US 441
658,CR 424 (Alabama Ave/Apopka Blvd),Lakeville Rd,Hiawassee Rd
7033*,CR 424 (Alabama Ave/Apopka Blvd),Sheeler Rd,Lakeville Rd
670,CR 424 (Alabama Ave/Apopka Blvd),US 441,8th St
"(32, 7004)*",CR 435 (Rock Spring Rd/Park Ave/Clarcona Rd),Keene Rd,McCormick Rd
328*,CR 435 (Rock Spring Rd/Park Ave/Clarcona Rd),M. Gladden Blvd,Cleveland St
426*,CR 435 (Rock Spring Rd/Park Ave/Clarcona Rd),Votaw Rd,Orange St
21*,CR 435 (Rock Spring Rd/Park Ave/Clarcona Rd),Welch Rd,Sandpiper Rd
19*,CR 435 (Rock Spring Rd/Park Ave/Clarcona Rd),Ponkan Rd,Welch Rd
7004,CR 435 (Rock Spring Rd/Park Ave/Clarcona Rd),McCormick Rd,Clarcona-Ocoee Rd
516,CR 435 (Rock Spring Rd/Park Ave/Clarcona Rd),Sandpiper Rd,Votaw Rd
563,CR 435 (Rock Spring Rd/Park Ave/Clarcona Rd),US 441,M. Gladden Blvd
580,CR 435 (Rock Spring Rd/Park Ave/Clarcona Rd),Orange St,US 441
7005*,CR 435 (Rock Spring Rd/Park Ave/Clarcona Rd),Cleveland St,Keene Rd
18*,CR 435 (Rock Spring Rd/Park Ave/Clarcona Rd),Kelly Park Rd,Ponkan Rd
27*,CR 437A (Ocoee-Apopka Rd/Michael Gladden Blvd/Central Ave),Harmon Rd,Bradshaw Rd
7083*,CR 437A (Ocoee-Apopka Rd/Michael Gladden Blvd/Central Ave),Bradshaw Rd,Park Ave
"(27, 29)*",CR 437A (Ocoee-Apopka Rd/Michael Gladden Blvd/Central Ave),Alston Bay Blvd,Harmon Rd
29,CR 437A (Ocoee-Apopka Rd/Michael Gladden Blvd/Central Ave),Keene Rd,Alston Bay Blvd
702,CR 437A (Ocoee-Apopka Rd/Michael Gladden Blvd/Central Ave),Binion Rd,Keene Rd
520,Christiana Ave,Monroe Ave,Votaw Rd
655,Cleveland St,Park Ave,Sheeler Rd
414,E 5th Street,S Central Ave,Park Avenue
408,Edgewood Dr,Monroe Ave,US 441
508,Errol Pkwy,Lake Francis Dr,Lake Alden Dr
509,Errol Pkwy,Lake Alden Dr,Old Dixie Hwy
541,Errol Pkwy,Old Dixie Hwy,US 441
931,General Electric Rd,Hermit Smith Rd,Orange Ave
909,Golden Gem Rd,Kelly Park Rd,Sadler Rd
910,Golden Gem Rd,Sadler Rd,Ponkan Rd
820,Greenacre Rd,Piedmont-Wekiwa Rd,Neil Rd
920,Haas Rd,Plymouth-Sorrento Rd (CR 437),Mt Plymouth Rd
972,Harmon Rd,Binion Rd,Ocoee-Apopka Rd
975,Harmon Road,Ocoee Apopka Road,Marden Road
561,Hawthorne Ave,Ocoee-Apopka Rd,13th St
562,Hawthorne Ave,US 441,Ocoee-Apopka Rd
950,Hermit Smith Rd,US 441,General Electric Rd
951,Hermit Smith Rd,Plymouth-Sorrento Rd (CR 437),US 441
952,Hermit Smith Rd,General Electric Rd,US 441
406,Highland Ave,US 441,6th St
405,Highland Ave,Monroe Ave,US 441
973,Hogshead Rd,Hermit Smith Rd,Conrad Rd
956,Jason Dwelley Pkwy,Kelly Park Rd,Spinfisher Dr
958,Jason Dwelley Pkwy,Spinfisher Dr,White Dahlia Dr
960,Jason Dwelley Pkwy,White Dahlia Dr,Ponkan Rd
